player_id;surname;name;position;club;price;last_season_in_premier_league
1000;David;Raya;Goalkeeper;Arsenal;5.5;Yes
1001;Kepa;Arrizabalaga;Goalkeeper;Arsenal;4.5;Yes
1002;Karl;Hein;Goalkeeper;Arsenal;4.0;Yes
1003;Tommy;Setford;Goalkeeper;Arsenal;4.0;Yes
1004;Gabriel;Magalhaes;Defender;Arsenal;6.0;Yes
1005;William;Saliba;Defender;Arsenal;6.0;Yes
1006;Riccardo;Calafiori;Defender;Arsenal;5.5;Yes
1007;Jurrien;Timber;Defender;Arsenal;5.5;Yes
1008;Jakub;Kiwior;Defender;Arsenal;5.5;Yes
1009;Myles;Lewis-Skelly;Defender;Arsenal;5.5;Yes
1010;Ben;White;Defender;Arsenal;5.5;Yes
1011;Oleksandr;Zinchenko;Defender;Arsenal;5.0;Yes
1012;Brayden;Clarke;Defender;Arsenal;4.0;Yes
1013;Maldini;Kacurri;Defender;Arsenal;4.0;Yes
1014;Josh;Nichols;Defender;Arsenal;4.0;Yes
1015;Bukayo;Saka;Midfielder;Arsenal;10.0;Yes
1016;Martin;Odegaard;Midfielder;Arsenal;8.0;Yes
1017;Noni;Madueke;Midfielder;Arsenal;7.0;Yes
1018;Gabriel;Martinelli;Midfielder;Arsenal;7.0;Yes
1019;Leandro;Trossard;Midfielder;Arsenal;7.0;Yes
1020;Declan;Rice;Midfielder;Arsenal;6.5;Yes
1021;Mikel;Merino;Midfielder;Arsenal;6.0;Yes
1022;Fabio;Vieira;Midfielder;Arsenal;5.5;No
1023;Christian;Norgaard;Midfielder;Arsenal;5.5;Yes
1024;Ethan;Nwaneri;Midfielder;Arsenal;5.5;Yes
1025;Martin;Zubimendi;Midfielder;Arsenal;5.5;No
1026;Reiss;Nelson;Midfielder;Arsenal;5.0;Yes
1027;Ismeal;Kabia;Midfielder;Arsenal;4.5;Yes
1028;Albert;Sambi;Midfielder;Arsenal;4.5;Yes
1029;Kai;Havertz;Forward;Arsenal;7.5;Yes
1030;Gabriel;Jesus;Forward;Arsenal;6.5;Yes
1031;Cristhian;Mosquera;Defender;Arsenal;5.5;Yes
1032;Emiliano;Martinez;Goalkeeper;Aston Villa;5.0;Yes
1033;Marco;Bizot;Goalkeeper;Aston Villa;4.5;No
1034;Joe;Gauci;Goalkeeper;Aston Villa;4.0;Yes
1035;Filip;Marschall;Goalkeeper;Aston Villa;4.0;Yes
1036;Matty;Cash;Defender;Aston Villa;4.5;Yes
1037;Lucas;Digne;Defender;Aston Villa;4.5;Yes
1038;Ezri;Konsa;Defender;Aston Villa;4.5;Yes
1039;Ian;Maatsen;Defender;Aston Villa;4.5;Yes
1040;Tyrone;Mings;Defender;Aston Villa;4.5;Yes
1041;Pau;Torres;Defender;Aston Villa;4.5;Yes
1042;Andres;Garcia;Defender;Aston Villa;4.0;Yes
1043;Alex;Moreno;Defender;Aston Villa;4.0;Yes
1044;Lamare;Bogarde;Defender;Aston Villa;4.0;Yes
1045;Lino;Sousa;Defender;Aston Villa;4.0;Yes
1046;Yasin;Yasin;Defender;Aston Villa;4.0;Yes
1047;Morgan;Rogers;Midfielder;Aston Villa;7.0;Yes
1048;Youri;Tielemans;Midfielder;Aston Villa;6.0;Yes
1049;Leon;Bailey;Midfielder;Aston Villa;5.5;Yes
1050;Emi;Buendia;Midfielder;Aston Villa;5.5;Yes
1051;Samuel;Iling Jr;Midfielder;Aston Villa;5.5;Yes
1052;Jacob;Ramsey;Midfielder;Aston Villa;5.5;Yes
1053;Donyell;Malen;Midfielder;Aston Villa;5.5;Yes
1054;John;McGinn;Midfielder;Aston Villa;5.5;Yes
1055;Ross;Barkley;Midfielder;Aston Villa;5.0;Yes
1056;Enzo;Barrenechea;Midfielder;Aston Villa;5.0;Yes
1057;Lewis;Dobbin;Midfielder;Aston Villa;5.0;No
1058;Boubacar;Kamara;Midfielder;Aston Villa;5.0;Yes
1059;Amadou;Onana;Midfielder;Aston Villa;5.0;Yes
1060;Ben;Broggio;Midfielder;Aston Villa;4.5;Yes
1061;Leander;Dendoncker;Midfielder;Aston Villa;4.5;Yes
1062;Jamaldeen;Jimoh-Aloba;Midfielder;Aston Villa;4.5;Yes
1063;Kadan;Young;Midfielder;Aston Villa;4.5;Yes
1064;Ollie;Watkins;Forward;Aston Villa;9.0;Yes
1065;Zepiqueno;Redmond;Forward;Aston Villa;4.5;Yes
1066;James;Trafford;Goalkeeper;Burnley;5.0;No
1067;Max;Weiss;Goalkeeper;Burnley;4.5;Yes
1068;Etienne;Green;Goalkeeper;Burnley;4.0;Yes
1069;Vaclav;Hladky;Goalkeeper;Burnley;4.0;No
1070;Connor;Roberts;Defender;Burnley;4.5;No
1071;Kyle;Walker;Defender;Burnley;4.5;Yes
1072;Hannes;Delcroix;Defender;Burnley;4.0;No
1073;Owen;Dodgson;Defender;Burnley;4.0;Yes
1074;Hjalmar;Ekdal;Defender;Burnley;4.0;Yes
1075;Maxime;Esteve;Defender;Burnley;4.0;No
1076;Quilindschy;Hartman;Defender;Burnley;4.0;Yes
1077;Bashir;Humphreys;Defender;Burnley;4.0;No
1078;Jordan;Jordan;Defender;Burnley;4.0;Yes
1079;Lucas;Pires;Defender;Burnley;4.0;No
1080;Shurandy;Sambo;Defender;Burnley;4.0;No
1081;Oliver;Sonne;Defender;Burnley;4.0;No
1082;Axel;Tuanzebe;Defender;Burnley;4.0;Yes
1083;Joe;Worrall;Defender;Burnley;4.0;No
1084;Jaidon;Anthony;Midfielder;Burnley;5.5;No
1085;Manuel;Benson;Midfielder;Burnley;5.5;Yes
